Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                   signal_profit_q_momdiv( gumbo nfi_32 ) |       1 |      1     0     0   100 |          14.81 |          14.81 |            35.582 |           0.19 |
|                                sell_profit_t_0_1( ewo2 ) |       1 |      1     0     0   100 |           0.2  |           0.2  |             0.488 |           0    |
|                             sell_profit_t_1_11( nfix_5 ) |       1 |      1     0     0   100 |           1.45 |           1.45 |             3.472 |           0.02 |
|                  signal_profit_q_pmax_bear( r_deadfish ) |       1 |      1     0     0   100 |           2.96 |           2.96 |             7.116 |           0.04 |
|             signal_profit_q_momdiv( local_uptrend ewo2 ) |       1 |      1     0     0   100 |          14.55 |          14.55 |            34.964 |           0.19 |
|                         sell_profit_t_0_1( ewo2 clucHA ) |       1 |      1     0     0   100 |           0.83 |           0.83 |             2.001 |           0.01 |
|        sell_profit_t_1_1( bb local_uptrend ewo2 clucHA ) |       1 |      1     0     0   100 |           1.46 |           1.46 |             3.497 |           0.02 |
|                       sell_profit_t_0_2( bb ewo clucHA ) |       1 |      1     0     0   100 |           0.22 |           0.22 |             0.525 |           0    |
|                                sell_profit_t_0_2( ewo2 ) |       1 |      1     0     0   100 |           0.06 |           0.06 |             0.136 |           0    |
|         sell_profit_t_0_1( bb local_uptrend ewo clucHA ) |       1 |      1     0     0   100 |           1.2  |           1.2  |             2.872 |           0.02 |
