Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                       signal_profit_q_momdiv( ewo2 ) |      11 |     11     0     0   100 |           4.29 |          47.18 |           113.354 |           0.49 |
|                     sell_stoploss_deadfish( clucHA ) |      11 |      0     0    11     0 |          -8.73 |         -95.99 |          -230.604 |          -1    |
|                          sell_profit_t_1_1( clucHA ) |      11 |     11     0     0   100 |           1.73 |          19.02 |            45.703 |           0.2  |
|                 signal_profit_q_momdiv_coh( clucHA ) |      10 |     10     0     0   100 |           2.62 |          26.23 |            63.009 |           0.27 |
|                     sell_profit_u_bear_1_1( clucHA ) |       9 |      9     0     0   100 |           1.41 |          12.7  |            30.509 |           0.13 |
|                  signal_profit_q_pmax_bear( sqzmom ) |       9 |      9     0     0   100 |           3.73 |          33.55 |            80.597 |           0.35 |
|                   signal_profit_q_momdiv_coh( ewo2 ) |       8 |      8     0     0   100 |           3.12 |          24.99 |            60.034 |           0.26 |
|                      signal_profit_q_momdiv( gumbo ) |       7 |      7     0     0   100 |           3.37 |          23.59 |            56.665 |           0.25 |
|                            sell_profit_t_1_1( ewo2 ) |       6 |      6     0     0   100 |           1.41 |           8.44 |            19.641 |           0.09 |
|                     signal_profit_q_momdiv( sqzmom ) |       6 |      6     0     0   100 |           3.14 |          18.83 |            45.247 |           0.2  |
|                signal_profit_q_momdiv( ewo2 clucHA ) |       5 |      5     0     0   100 |           5.05 |          25.24 |            60.627 |           0.26 |
|                       signal_profit_q_momdiv( cofi ) |       5 |      5     0     0   100 |           3.38 |          16.92 |            40.637 |           0.18 |
|                            sell_profit_t_0_1( ewo2 ) |       5 |      5     0     0   100 |           0.73 |           3.66 |             8.785 |           0.04 |
|                              sell_profit_t_1_1( bb ) |       5 |      5     0     0   100 |           1.63 |           8.15 |            19.591 |           0.08 |
|                   signal_profit_q_pmax_bear( gumbo ) |       5 |      5     0     0   100 |           3.7  |          18.52 |            44.483 |           0.19 |
|                           sell_profit_t_1_12( ewo2 ) |       4 |      4     0     0   100 |           1.43 |           5.72 |            13.732 |           0.06 |
|                      sell_profit_t_cti_r_0_1( ewo2 ) |       4 |      4     0     0   100 |           0.56 |           2.24 |             5.393 |           0.02 |
|                       sell_stoploss_deadfish( ewo2 ) |       4 |      0     0     4     0 |         -14.13 |         -56.52 |          -135.775 |          -0.59 |
|                    sell_profit_t_cti_r_0_1( clucHA ) |       4 |      4     0     0   100 |           0.59 |           2.36 |             5.658 |           0.02 |
|                sell_stoploss_deadfish( ewo2 clucHA ) |       3 |      0     0     3     0 |          -7.6  |         -22.79 |           -54.748 |          -0.24 |
|                         sell_profit_t_1_12( clucHA ) |       3 |      3     0     0   100 |           1.47 |           4.4  |            10.579 |           0.05 |
|                  signal_profit_q_pmax_bear( nfi_13 ) |       2 |      2     0     0   100 |           3.82 |           7.63 |            18.337 |           0.08 |
|                            sell_profit_t_0_2( ewo2 ) |       2 |      2     0     0   100 |           0.65 |           1.31 |             3.138 |           0.01 |
|                           sell_profit_t_1_11( ewo2 ) |       2 |      2     0     0   100 |           1.6  |           3.2  |             7.696 |           0.03 |
|                         sell_profit_t_1_11( clucHA ) |       2 |      2     0     0   100 |           1.5  |           3    |             7.216 |           0.03 |
|                   sell_profit_t_1_1( local_uptrend ) |       2 |      2     0     0   100 |           1.3  |           2.6  |             6.242 |           0.03 |
|                    signal_profit_q_pmax_bear( cofi ) |       2 |      2     0     0   100 |           2.68 |           5.35 |            12.857 |           0.06 |
|                  signal_profit_q_pmax_bear( nfi_38 ) |       2 |      2     0     0   100 |           2.25 |           4.5  |            10.822 |           0.05 |
|                         sell_profit_t_1_1( bb ewo2 ) |       2 |      2     0     0   100 |           1.33 |           2.66 |             6.383 |           0.03 |
|                                           force_sell |       2 |      0     0     2     0 |          -2.93 |          -5.85 |           -14.061 |          -0.06 |
|                        signal_profit_q_momdiv( ewo ) |       2 |      2     0     0   100 |          12.96 |          25.92 |            62.267 |           0.27 |
|                     signal_profit_q_momdiv( nfix_5 ) |       2 |      2     0     0   100 |           3.63 |           7.25 |            17.428 |           0.08 |
|                     signal_profit_q_momdiv( nfi_38 ) |       2 |      2     0     0   100 |           2.49 |           4.97 |            11.951 |           0.05 |
|                       sell_profit_t_0_2( bb clucHA ) |       2 |      2     0     0   100 |           0.3  |           0.61 |             1.454 |           0.01 |
|              signal_profit_q_momdiv( local_uptrend ) |       2 |      2     0     0   100 |           6.68 |          13.37 |            32.117 |           0.14 |
|                       sell_profit_t_1_1( local_dip ) |       2 |      2     0     0   100 |           1.46 |           2.92 |             7.024 |           0.03 |
|                          sell_profit_t_0_2( clucHA ) |       2 |      2     0     0   100 |           0.2  |           0.4  |             0.96  |           0    |
|                              sell_profit_t_0_2( bb ) |       2 |      2     0     0   100 |           0.63 |           1.26 |             3.021 |           0.01 |
|                         sell_profit_u_bear_1_2( bb ) |       1 |      1     0     0   100 |           1.74 |           1.74 |             4.192 |           0.02 |
|                     sell_profit_t_0_2( ewo2 clucHA ) |       1 |      1     0     0   100 |           0    |           0    |             0.002 |           0    |
|                   sell_profit_t_0_1( local_uptrend ) |       1 |      1     0     0   100 |           0.81 |           0.81 |             1.939 |           0.01 |
|                          sell_profit_t_1_1( nfix_5 ) |       1 |      1     0     0   100 |           1.71 |           1.71 |             4.12  |           0.02 |
|              signal_profit_q_pmax_bear( r_deadfish ) |       1 |      1     0     0   100 |           4.04 |           4.04 |             9.706 |           0.04 |
|                 signal_profit_q_momdiv_coh( sqzmom ) |       1 |      1     0     0   100 |           3.68 |           3.68 |             8.832 |           0.04 |
|                          sell_profit_t_1_1( bb ewo ) |       1 |      1     0     0   100 |           1.87 |           1.87 |             4.49  |           0.02 |
|                    sell_profit_t_1_12( ewo2 clucHA ) |       1 |      1     0     0   100 |           1.79 |           1.79 |             4.301 |           0.02 |
|                    signal_profit_q_momdiv_1h( ewo2 ) |       1 |      1     0     0   100 |           4.24 |           4.24 |            10.197 |           0.04 |
|                         sell_profit_t_1_12( sqzmom ) |       1 |      1     0     0   100 |           1.64 |           1.64 |             3.938 |           0.02 |
|                     sell_profit_t_0_1( ewo2 nfi_32 ) |       1 |      1     0     0   100 |           0.54 |           0.54 |             1.298 |           0.01 |
| signal_profit_q_pmax_bear( bb local_uptrend clucHA ) |       1 |      1     0     0   100 |           2.5  |           2.5  |             6.001 |           0.03 |
|                sell_stoploss_deadfish( ewo2 nfix_5 ) |       1 |      0     0     1     0 |         -15.42 |         -15.42 |           -37.045 |          -0.16 |
|                     sell_profit_t_1_4( ewo2 clucHA ) |       1 |      1     0     0   100 |           1.93 |           1.93 |             4.648 |           0.02 |
|                     sell_profit_u_bear_1_2( clucHA ) |       1 |      1     0     0   100 |           1.2  |           1.2  |             2.883 |           0.01 |
|            sell_profit_t_1_1( local_uptrend nfi_32 ) |       1 |      1     0     0   100 |           1.21 |           1.21 |             2.902 |           0.01 |
|                     signal_profit_q_momdiv( bb ewo ) |       1 |      1     0     0   100 |           5.19 |           5.19 |            12.459 |           0.05 |
|                     sell_stoploss_deadfish( nfi_38 ) |       1 |      0     0     1     0 |          -9.2  |          -9.2  |           -22.112 |          -0.1  |
|                                                  roi |       1 |      1     0     0   100 |          20.48 |          20.48 |            49.2   |           0.21 |
|       signal_profit_q_momdiv( local_uptrend clucHA ) |       1 |      1     0     0   100 |           8.47 |           8.47 |            20.349 |           0.09 |
|              sell_profit_u_bear_1_1( local_uptrend ) |       1 |      1     0     0   100 |           1.32 |           1.32 |             3.16  |           0.01 |
|                     signal_profit_q_momdiv( nfi_33 ) |       1 |      1     0     0   100 |           4.84 |           4.84 |            11.627 |           0.05 |
|                 signal_profit_q_momdiv_coh( nfi_13 ) |       1 |      1     0     0   100 |           2.71 |           2.71 |             6.518 |           0.03 |
|                           sell_profit_t_1_5( gumbo ) |       1 |      1     0     0   100 |           1.73 |           1.73 |             4.163 |           0.02 |
|                     signal_profit_q_pmax_bear( ewo ) |       1 |      1     0     0   100 |           2.11 |           2.11 |             5.061 |           0.02 |
|                            sell_profit_t_1_2( ewo2 ) |       1 |      1     0     0   100 |           1.79 |           1.79 |             4.291 |           0.02 |
|                          sell_profit_t_0_2( bb ewo ) |       1 |      1     0     0   100 |           1.1  |           1.1  |             2.641 |           0.01 |
|                   sell_profit_t_0_1( clucHA sqzmom ) |       1 |      1     0     0   100 |           0.35 |           0.35 |             0.845 |           0    |
|    signal_profit_q_momdiv( bb local_uptrend clucHA ) |       1 |      1     0     0   100 |           2.41 |           2.41 |             5.78  |           0.03 |
|            sell_profit_t_1_1( local_uptrend clucHA ) |       1 |      1     0     0   100 |           1.87 |           1.87 |             4.502 |           0.02 |
|                   sell_profit_t_0_2( local_uptrend ) |       1 |      1     0     0   100 |           0.83 |           0.83 |             1.982 |           0.01 |
|                          sell_profit_t_0_1( sqzmom ) |       1 |      1     0     0   100 |           0.04 |           0.04 |             0.091 |           0    |
|                       sell_profit_t_1_1( bb clucHA ) |       1 |      1     0     0   100 |           1.21 |           1.21 |             2.904 |           0.01 |
|              sell_profit_t_0_1( local_uptrend ewo2 ) |       1 |      1     0     0   100 |           0.56 |           0.56 |             1.349 |           0.01 |
|                           sell_profit_t_1_10( ewo2 ) |       1 |      1     0     0   100 |           1.35 |           1.35 |             3.25  |           0.01 |
|                          sell_profit_t_0_1( clucHA ) |       1 |      1     0     0   100 |           0.56 |           0.56 |             1.348 |           0.01 |
| signal_profit_q_pmax_bear( local_uptrend local_dip ) |       1 |      1     0     0   100 |           2.98 |           2.98 |             7.16  |           0.03 |
|                   signal_profit_q_momdiv_coh( cofi ) |       1 |      1     0     0   100 |           2.13 |           2.13 |             5.11  |           0.02 |
|                   sell_profit_t_1_1( clucHA nfi_32 ) |       1 |      1     0     0   100 |           1.99 |           1.99 |             4.783 |           0.02 |
|                    sell_profit_t_1_10( ewo2 clucHA ) |       1 |      1     0     0   100 |           1.43 |           1.43 |             3.427 |           0.01 |
======================================================= LEFT OPEN TRADES REPORT ========================================================
|      Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|   QI/USDT |      1 |          -1.05 |          -1.05 |            -2.523 |          -0.21 |        0:05:00 |     0     0     1     0 |
| XAVA/USDT |      1 |          -4.80 |          -4.80 |           -11.538 |          -0.96 |        1:50:00 |     0     0     1     0 |
|     TOTAL |      2 |          -2.93 |          -5.85 |           -14.061 |          -1.17 |        0:58:00 |     0     0     2     0 |
=============== SUMMARY METRICS ================
| Metric                 | Value               |
|------------------------+---------------------|
| Backtesting from       | 2021-08-01 00:00:00 |
| Backtesting to         | 2021-08-31 00:00:00 |
| Max open trades        | 96                  |
|                        |                     |
| Total/Daily Avg Trades | 312 / 10.4          |
| Starting balance       | 1200.000 USDT       |
| Final balance          | 2742.119 USDT       |
| Absolute profit        | 1542.119 USDT       |
| Total profit %         | 128.51%             |
| Avg. stake amount      | 239.841 USDT        |
| Total trade volume     | 74830.469 USDT      |
|                        |                     |
| Best Pair              | 2CRZ/USDT 84.32%    |
| Worst Pair             | BUY/USDT -6.63%     |
| Best trade             | ERG/USDT 20.48%     |
| Worst trade            | LOCG/USDT -22.73%   |
| Best day               | 160.845 USDT        |
| Worst day              | -46.882 USDT        |
| Days win/draw/lose     | 29 / 0 / 2          |
| Avg. Duration Winners  | 1:20:00             |
| Avg. Duration Loser    | 9:06:00             |
| Rejected Buy signals   | 0                   |
|                        |                     |
| Min balance            | 1204.529 USDT       |
| Max balance            | 2765.022 USDT       |
| Drawdown               | 30.34%              |
| Drawdown               | 72.894 USDT         |
| Drawdown high          | 723.625 USDT        |
| Drawdown low           | 650.731 USDT        |
| Drawdown Start         | 2021-08-17 22:05:00 |
| Drawdown End           | 2021-08-18 00:50:00 |
| Market change          | 72.32%              |
================================================
