Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                       signal_profit_q_momdiv_coh( ewo2 ) |      21 |     21     0     0   100 |           3.61 |          75.72 |           181.899 |           0.74 |
|                      signal_profit_q_pmax_bear( nfi_38 ) |      21 |     21     0     0   100 |           2.8  |          58.71 |           141.044 |           0.58 |
|                         sell_profit_u_bear_1_2( nfi_38 ) |      19 |     19     0     0   100 |           1.4  |          26.65 |            64.017 |           0.26 |
|                              sell_profit_t_0_1( clucHA ) |      18 |     18     0     0   100 |           0.5  |           9.07 |            21.793 |           0.09 |
|                         signal_profit_q_momdiv( nfi_13 ) |      18 |     18     0     0   100 |           3.17 |          57.03 |           135.666 |           0.56 |
|                         sell_profit_t_cti_r_0_1( gumbo ) |      16 |     16     0     0   100 |           0.61 |           9.77 |            23.243 |           0.1  |
|                               sell_profit_t_1_12( ewo2 ) |      13 |     13     0     0   100 |           1.54 |          20.05 |            48.166 |           0.2  |
|                             sell_profit_t_1_12( clucHA ) |      13 |     13     0     0   100 |           1.67 |          21.68 |            52.075 |           0.21 |
|                        sell_profit_t_cti_r_0_1( nfi_38 ) |      13 |     13     0     0   100 |           0.58 |           7.55 |            18.15  |           0.07 |
|                             sell_profit_t_1_12( nfi_38 ) |      13 |     13     0     0   100 |           1.49 |          19.42 |            46.654 |           0.19 |
|                       sell_profit_t_1_1( local_uptrend ) |      13 |     13     0     0   100 |           1.51 |          19.69 |            47.3   |           0.19 |
|                         sell_stoploss_deadfish( sqzmom ) |      12 |      0     0    12     0 |          -9.15 |        -109.81 |          -263.817 |          -1.08 |
|                sell_profit_t_1_1( local_uptrend clucHA ) |      12 |     12     0     0   100 |           1.59 |          19.02 |            45.704 |           0.19 |
|                                sell_profit_t_0_1( ewo2 ) |      12 |     12     0     0   100 |           0.66 |           7.94 |            19.076 |           0.08 |
|                  signal_profit_q_momdiv( local_uptrend ) |      12 |     12     0     0   100 |           8.78 |         105.4  |           253.207 |           1.03 |
|                             sell_profit_u_bear_1_1( bb ) |      11 |     11     0     0   100 |           1.36 |          14.96 |            35.948 |           0.15 |
|                              sell_profit_t_1_1( nfi_38 ) |      11 |     11     0     0   100 |           1.53 |          16.78 |            40.32  |           0.16 |
|                           signal_profit_q_momdiv( cofi ) |      11 |     11     0     0   100 |           3.6  |          39.64 |            95.228 |           0.39 |
|                      signal_profit_q_pmax_bear( nfi_13 ) |      11 |     11     0     0   100 |           2.99 |          32.88 |            76.351 |           0.32 |
|                              sell_profit_t_0_1( sqzmom ) |      11 |     11     0     0   100 |           0.34 |           3.73 |             8.959 |           0.04 |
|                             sell_profit_t_1_12( sqzmom ) |      10 |     10     0     0   100 |           1.56 |          15.57 |            37.411 |           0.15 |
|                                  sell_profit_t_0_2( bb ) |      10 |     10     0     0   100 |           0.47 |           4.73 |            11.361 |           0.05 |
|                        sell_profit_t_cti_r_0_1( sqzmom ) |      10 |     10     0     0   100 |           0.54 |           5.37 |            12.912 |           0.05 |
|                              sell_profit_t_1_1( sqzmom ) |      10 |     10     0     0   100 |           1.42 |          14.18 |            34.064 |           0.14 |
|                             sell_profit_t_1_11( clucHA ) |       9 |      9     0     0   100 |           1.63 |          14.68 |            35.269 |           0.14 |
|                         sell_profit_u_bear_1_1( sqzmom ) |       9 |      9     0     0   100 |           1.48 |          13.33 |            32.017 |           0.13 |
|                           sell_profit_t_1_1( bb clucHA ) |       8 |      8     0     0   100 |           1.57 |          12.52 |            30.087 |           0.12 |
|                     signal_profit_q_momdiv_coh( nfi_13 ) |       8 |      8     0     0   100 |           3.01 |          24.1  |            57.89  |           0.24 |
|                         sell_profit_u_bear_1_2( sqzmom ) |       8 |      8     0     0   100 |           1.38 |          11.06 |            26.582 |           0.11 |
|                  sell_profit_u_bear_1_1( local_uptrend ) |       8 |      8     0     0   100 |           1.25 |          10.03 |            24.102 |           0.1  |
|                          sell_profit_t_cti_r_0_1( ewo2 ) |       8 |      8     0     0   100 |           0.58 |           4.61 |            11.075 |           0.05 |
|                         sell_profit_u_bear_1_2( clucHA ) |       8 |      8     0     0   100 |           1.34 |          10.74 |            25.649 |           0.11 |
|                    signal_profit_q_momdiv( ewo2 clucHA ) |       8 |      8     0     0   100 |           4.57 |          36.58 |            87.882 |           0.36 |
|                         sell_stoploss_deadfish( nfi_38 ) |       7 |      0     0     7     0 |          -7.94 |         -55.58 |          -133.537 |          -0.54 |
|                         sell_profit_u_bear_1_1( nfi_38 ) |       7 |      7     0     0   100 |           1.24 |           8.66 |            20.815 |           0.08 |
|                       signal_profit_q_momdiv_coh( cofi ) |       7 |      7     0     0   100 |           2.78 |          19.49 |            46.82  |           0.19 |
|                             signal_profit_q_momdiv( bb ) |       7 |      7     0     0   100 |           7.31 |          51.2  |           123.007 |           0.5  |
|                            signal_profit_q_momdiv( ewo ) |       6 |      6     0     0   100 |           8.25 |          49.51 |           118.955 |           0.49 |
|                       sell_profit_t_0_1( local_uptrend ) |       6 |      6     0     0   100 |           0.43 |           2.56 |             6.157 |           0.03 |
|                    sell_stoploss_deadfish( ewo2 clucHA ) |       6 |      0     0     6     0 |          -9.03 |         -54.19 |          -130.179 |          -0.53 |
|                             sell_stoploss_deadfish( bb ) |       6 |      0     0     6     0 |         -11.35 |         -68.09 |          -163.571 |          -0.67 |
|                                sell_profit_t_0_2( ewo2 ) |       6 |      6     0     0   100 |           0.44 |           2.63 |             6.327 |           0.03 |
|                         signal_profit_q_momdiv_coh( bb ) |       5 |      5     0     0   100 |           5.81 |          29.04 |            69.769 |           0.28 |
|                              sell_profit_t_1_1( bb ewo ) |       5 |      5     0     0   100 |           1.67 |           8.37 |            20.106 |           0.08 |
|                        signal_profit_q_pmax_bear( cofi ) |       5 |      5     0     0   100 |           2.78 |          13.91 |            33.42  |           0.14 |
|           signal_profit_q_momdiv( local_uptrend clucHA ) |       5 |      5     0     0   100 |           6.54 |          32.7  |            78.55  |           0.32 |
|                            sell_profit_t_cti_r_0_1( bb ) |       5 |      5     0     0   100 |           0.85 |           4.26 |            10.244 |           0.04 |
|                            sell_profit_u_bear_1_1( ewo ) |       5 |      5     0     0   100 |           1.36 |           6.81 |            16.364 |           0.07 |
|                         signal_profit_q_momdiv( nfix_5 ) |       5 |      5     0     0   100 |           4.91 |          24.54 |            58.949 |           0.24 |
|                                               force_sell |       5 |      3     0     2  60.0 |          -0.02 |          -0.12 |            -0.284 |          -0    |
|        signal_profit_q_pmax_bear( local_uptrend clucHA ) |       5 |      5     0     0   100 |           3.09 |          15.46 |            37.136 |           0.15 |
|                      signal_profit_q_pmax_bear( bb ewo ) |       4 |      4     0     0   100 |           2.81 |          11.25 |            27.03  |           0.11 |
|                  signal_profit_q_pmax_bear( r_deadfish ) |       4 |      4     0     0   100 |           3.08 |          12.32 |            29.605 |           0.12 |
|                              sell_profit_t_0_2( nfi_38 ) |       4 |      4     0     0   100 |           0.63 |           2.52 |             6.061 |           0.02 |
|                                  sell_profit_t_0_1( bb ) |       4 |      4     0     0   100 |           0.45 |           1.8  |             4.324 |           0.02 |
|                              sell_profit_t_0_2( sqzmom ) |       4 |      4     0     0   100 |           0.32 |           1.3  |             3.118 |           0.01 |
|                          signal_profit_q_pmax_bear( bb ) |       4 |      4     0     0   100 |           2.84 |          11.38 |            27.339 |           0.11 |
|                               sell_profit_t_1_11( ewo2 ) |       4 |      4     0     0   100 |           1.6  |           6.39 |            15.355 |           0.06 |
|                            sell_stoploss_deadfish( ewo ) |       4 |      0     0     4     0 |          -8.34 |         -33.37 |           -80.165 |          -0.33 |
|                           sell_profit_t_1_1( local_dip ) |       4 |      4     0     0   100 |           1.49 |           5.95 |            14.284 |           0.06 |
|              signal_profit_q_momdiv_coh( local_uptrend ) |       4 |      4     0     0   100 |           3.82 |          15.27 |            36.676 |           0.15 |
|                 signal_profit_q_pmax_bear( ewo2 clucHA ) |       4 |      4     0     0   100 |           2.78 |          11.13 |            26.745 |           0.11 |
|                         signal_profit_q_momdiv( bb ewo ) |       4 |      4     0     0   100 |          10.26 |          41.04 |            98.599 |           0.4  |
|                              sell_profit_t_1_2( clucHA ) |       4 |      4     0     0   100 |           1.71 |           6.83 |            16.41  |           0.07 |
|                          sell_profit_t_cti_r_0_1( cofi ) |       3 |      3     0     0   100 |           0.73 |           2.2  |             5.276 |           0.02 |
|                                 sell_profit_t_0_2( ewo ) |       3 |      3     0     0   100 |           0.43 |           1.28 |             3.065 |           0.01 |
|                   signal_profit_q_pmax_bear( bb clucHA ) |       3 |      3     0     0   100 |           2.42 |           7.27 |            17.467 |           0.07 |
|                        signal_profit_q_momdiv_1h( ewo2 ) |       3 |      3     0     0   100 |           2.99 |           8.98 |            21.565 |           0.09 |
|                                 sell_profit_t_1_1( ewo ) |       3 |      3     0     0   100 |           1.63 |           4.9  |            11.784 |           0.05 |
|                                sell_profit_t_0_1( cofi ) |       3 |      3     0     0   100 |           0.38 |           1.13 |             2.708 |           0.01 |
|        signal_profit_q_momdiv( bb local_uptrend clucHA ) |       3 |      3     0     0   100 |           7.39 |          22.18 |            53.284 |           0.22 |
|                              sell_profit_t_1_5( sqzmom ) |       3 |      3     0     0   100 |           1.44 |           4.33 |            10.404 |           0.04 |
|                             sell_profit_t_1_1( bb ewo2 ) |       3 |      3     0     0   100 |           1.33 |           3.98 |             9.562 |           0.04 |
|                           sell_profit_u_bear_1_1( ewo2 ) |       3 |      3     0     0   100 |           1.55 |           4.66 |            11.186 |           0.05 |
|                              sell_profit_t_1_1( nfi_13 ) |       2 |      2     0     0   100 |           1.45 |           2.9  |             6.964 |           0.03 |
|     signal_profit_q_pmax_bear( bb local_uptrend clucHA ) |       2 |      2     0     0   100 |           3.62 |           7.25 |            17.417 |           0.07 |
|                              sell_profit_t_1_4( clucHA ) |       2 |      2     0     0   100 |           1.7  |           3.4  |             8.173 |           0.03 |
|                  signal_profit_q_momdiv( nfi_13 nfi_38 ) |       2 |      2     0     0   100 |           2.26 |           4.51 |            10.843 |           0.04 |
|                       sell_profit_t_0_2( bb ewo clucHA ) |       2 |      2     0     0   100 |           0.26 |           0.52 |             1.238 |           0.01 |
|                      signal_profit_q_momdiv( local_dip ) |       2 |      2     0     0   100 |           4.68 |           9.36 |            22.489 |           0.09 |
|                      signal_profit_q_pmax_bear( nfix_5 ) |       2 |      2     0     0   100 |           3.43 |           6.86 |            16.488 |           0.07 |
