Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                sell_profit_t_1_1( ewo2 ) |       9 |      9     0     0   100 |           1.48 |          13.29 |            31.926 |           0.13 |
|         sell_profit_u_bear_1_1( clucHA ) |       6 |      6     0     0   100 |           1.49 |           8.96 |            21.517 |           0.09 |
|         sell_stoploss_deadfish( clucHA ) |       5 |      0     0     5     0 |          -8.97 |         -44.85 |          -107.736 |          -0.44 |
|        signal_profit_q_pmax_bear( ewo2 ) |       5 |      5     0     0   100 |           4.11 |          20.57 |            49.429 |           0.2  |
|               sell_profit_t_1_11( ewo2 ) |       5 |      5     0     0   100 |           1.62 |           8.09 |            19.435 |           0.08 |
|         signal_profit_q_momdiv( nfi_13 ) |       4 |      4     0     0   100 |           2.63 |          10.5  |            25.227 |           0.1  |
|          sell_profit_t_cti_r_0_1( ewo2 ) |       4 |      4     0     0   100 |           0.44 |           1.77 |             4.255 |           0.02 |
|                               force_sell |       3 |      1     0     2  33.3 |          -0.82 |          -2.46 |            -5.908 |          -0.02 |
|    sell_stoploss_deadfish( ewo2 clucHA ) |       3 |      0     0     3     0 |          -8.69 |         -26.07 |           -62.623 |          -0.26 |
|         signal_profit_q_momdiv( nfi_38 ) |       3 |      3     0     0   100 |           3.43 |          10.29 |            24.711 |           0.1  |
|              sell_profit_t_0_1( clucHA ) |       3 |      3     0     0   100 |           0.56 |           1.69 |             4.054 |           0.02 |
|         signal_profit_q_momdiv( sqzmom ) |       3 |      3     0     0   100 |           4.5  |          13.51 |            32.449 |           0.13 |
|           signal_profit_q_momdiv( cofi ) |       3 |      3     0     0   100 |           2.47 |           7.4  |            17.77  |           0.07 |
|           sell_stoploss_deadfish( ewo2 ) |       3 |      0     0     3     0 |          -6.59 |         -19.76 |           -47.462 |          -0.19 |
|     signal_profit_q_momdiv_coh( clucHA ) |       3 |      3     0     0   100 |           5.58 |          16.75 |            40.239 |           0.16 |
|                  sell_profit_t_0_1( bb ) |       2 |      2     0     0   100 |           0.32 |           0.64 |             1.536 |           0.01 |
|              sell_profit_t_0_2( clucHA ) |       2 |      2     0     0   100 |           0.41 |           0.82 |             1.968 |           0.01 |
|         sell_profit_t_0_1( ewo2 clucHA ) |       2 |      2     0     0   100 |           0.44 |           0.88 |             2.11  |           0.01 |
|                 sell_profit_t_1_1( ewo ) |       2 |      2     0     0   100 |           1.42 |           2.85 |             6.836 |           0.03 |
|         signal_profit_q_momdiv( nfix_5 ) |       2 |      2     0     0   100 |           3.03 |           6.05 |            14.539 |           0.06 |
|             sell_profit_t_1_12( clucHA ) |       2 |      2     0     0   100 |           1.58 |           3.15 |             7.575 |           0.03 |
|            signal_profit_q_momdiv( ewo ) |       2 |      2     0     0   100 |           4.76 |           9.51 |            22.85  |           0.09 |
|      signal_profit_q_pmax_bear( clucHA ) |       2 |      2     0     0   100 |           4.03 |           8.06 |            19.353 |           0.08 |
|         sell_profit_t_1_1( ewo2 clucHA ) |       2 |      2     0     0   100 |           1.33 |           2.66 |             6.399 |           0.03 |
