Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                       signal_profit_q_momdiv_coh( cofi ) |       4 |      4     0     0   100 |           2.57 |          10.28 |            24.691 |           0.12 |
|                                sell_profit_t_0_1( ewo2 ) |       3 |      3     0     0   100 |           0.3  |           0.91 |             2.177 |           0.01 |
|                          signal_profit_q_momdiv( gumbo ) |       3 |      3     0     0   100 |           7.07 |          21.21 |            50.951 |           0.24 |
|                              sell_profit_t_0_2( clucHA ) |       3 |      3     0     0   100 |           0.23 |           0.69 |             1.658 |           0.01 |
|                     signal_profit_q_momdiv_coh( nfi_38 ) |       3 |      3     0     0   100 |           2.65 |           7.95 |            19.098 |           0.09 |
|           signal_profit_q_momdiv( local_uptrend clucHA ) |       3 |      3     0     0   100 |           7.17 |          21.5  |            51.64  |           0.24 |
|                     signal_profit_q_momdiv_coh( sqzmom ) |       3 |      3     0     0   100 |           2.88 |           8.65 |            20.788 |           0.1  |
|                          sell_stoploss_deadfish( gumbo ) |       3 |      0     0     3     0 |          -7.49 |         -22.47 |           -53.973 |          -0.26 |
|                                                      roi |       3 |      3     0     0   100 |          20.48 |          61.44 |           147.6   |           0.7  |
|                             sell_profit_t_1_11( clucHA ) |       2 |      2     0     0   100 |           1.8  |           3.59 |             8.629 |           0.04 |
|                 signal_profit_q_pmax_bear( ewo2 clucHA ) |       2 |      2     0     0   100 |           2.96 |           5.92 |            14.221 |           0.07 |
|                         sell_profit_u_bear_1_1( sqzmom ) |       2 |      2     0     0   100 |           1.23 |           2.46 |             5.903 |           0.03 |
|                         sell_stoploss_deadfish( nfi_38 ) |       2 |      0     0     2     0 |          -7.67 |         -15.33 |           -36.838 |          -0.17 |
|                             sell_stoploss_deadfish( bb ) |       2 |      0     0     2     0 |          -6.73 |         -13.46 |           -32.327 |          -0.15 |
|                         signal_profit_q_momdiv( bb ewo ) |       2 |      2     0     0   100 |          11.83 |          23.65 |            56.817 |           0.27 |
|                         signal_profit_q_momdiv( nfi_38 ) |       2 |      2     0     0   100 |           3.72 |           7.44 |            17.87  |           0.08 |
|                            sell_profit_u_bear_1_1( ewo ) |       2 |      2     0     0   100 |           1.73 |           3.46 |             8.307 |           0.04 |
|                               sell_profit_t_1_12( ewo2 ) |       2 |      2     0     0   100 |           1.83 |           3.67 |             8.809 |           0.04 |
|                              sell_profit_t_0_1( clucHA ) |       2 |      2     0     0   100 |           0.58 |           1.15 |             2.768 |           0.01 |
|                     signal_profit_q_momdiv_coh( nfi_13 ) |       2 |      2     0     0   100 |           3.74 |           7.48 |            17.979 |           0.09 |
|                                               force_sell |       2 |      0     0     2     0 |          -4.41 |          -8.82 |           -21.193 |          -0.1  |
|                         signal_profit_q_momdiv( nfix_5 ) |       2 |      2     0     0   100 |           5.82 |          11.65 |            27.978 |           0.13 |
|                             sell_profit_t_1_12( clucHA ) |       2 |      2     0     0   100 |           1.97 |           3.94 |             9.456 |           0.04 |
|                      signal_profit_q_pmax_bear( nfi_38 ) |       2 |      2     0     0   100 |           2.59 |           5.19 |            12.466 |           0.06 |
|                      signal_profit_q_pmax_bear( nfi_13 ) |       2 |      2     0     0   100 |           2.25 |           4.5  |            10.81  |           0.05 |
|                sell_profit_t_1_1( local_uptrend clucHA ) |       2 |      2     0     0   100 |           1.62 |           3.23 |             7.771 |           0.04 |
|                      signal_profit_q_pmax_bear( sqzmom ) |       2 |      2     0     0   100 |           2.57 |           5.14 |            12.349 |           0.06 |
|                         sell_stoploss_deadfish( bb ewo ) |       2 |      0     0     2     0 |         -16.8  |         -33.61 |           -80.738 |          -0.38 |
|                          sell_profit_t_cti_r_0_1( cofi ) |       1 |      1     0     0   100 |           0.4  |           0.4  |             0.972 |           0    |
|                              sell_profit_t_1_4( clucHA ) |       1 |      1     0     0   100 |           1.88 |           1.88 |             4.515 |           0.02 |
|                             sell_profit_t_1_10( nfi_32 ) |       1 |      1     0     0   100 |           1.91 |           1.91 |             4.588 |           0.02 |
|                    sell_stoploss_deadfish( ewo2 clucHA ) |       1 |      0     0     1     0 |         -15.41 |         -15.41 |           -37.023 |          -0.18 |
|                        signal_profit_q_momdiv_coh( ewo ) |       1 |      1     0     0   100 |           2.29 |           2.29 |             5.504 |           0.03 |
|                          sell_profit_t_cti_r_0_1( ewo2 ) |       1 |      1     0     0   100 |           0.41 |           0.41 |             0.988 |           0    |
|                                 sell_profit_t_1_1( ewo ) |       1 |      1     0     0   100 |           1.88 |           1.88 |             4.524 |           0.02 |
|                                sell_profit_t_0_2( ewo2 ) |       1 |      1     0     0   100 |           0.35 |           0.35 |             0.841 |           0    |
|                               sell_profit_t_1_11( ewo2 ) |       1 |      1     0     0   100 |           1.31 |           1.31 |             3.141 |           0.01 |
|                      signal_profit_q_momdiv_1h( sqzmom ) |       1 |      1     0     0   100 |           4.23 |           4.23 |            10.152 |           0.05 |
|                       sell_profit_t_1_1( local_uptrend ) |       1 |      1     0     0   100 |           1.54 |           1.54 |             3.692 |           0.02 |
|                              sell_profit_t_1_2( nfi_32 ) |       1 |      1     0     0   100 |           1.29 |           1.29 |             3.095 |           0.01 |
|                           sell_profit_u_bear_1_1( ewo2 ) |       1 |      1     0     0   100 |           1.99 |           1.99 |             4.771 |           0.02 |
|                                  sell_profit_t_1_1( bb ) |       1 |      1     0     0   100 |           1.8  |           1.8  |             4.315 |           0.02 |
|                      signal_profit_q_pmax_bear( bb ewo ) |       1 |      1     0     0   100 |           2.41 |           2.41 |             5.801 |           0.03 |
|                    sell_profit_u_bear_1_1( ewo2 clucHA ) |       1 |      1     0     0   100 |           1.17 |           1.17 |             2.818 |           0.01 |
|                         sell_stoploss_deadfish( sqzmom ) |       1 |      0     0     1     0 |         -11.18 |         -11.18 |           -26.848 |          -0.13 |
|                      signal_profit_q_pmax_bear( nfi_32 ) |       1 |      1     0     0   100 |           3.29 |           3.29 |             7.907 |           0.04 |
|                 sell_profit_t_cti_r_0_1( local_uptrend ) |       1 |      1     0     0   100 |           1.08 |           1.08 |             2.596 |           0.01 |
|                         sell_profit_u_bear_1_2( nfi_13 ) |       1 |      1     0     0   100 |           1.07 |           1.07 |             2.571 |           0.01 |
|                       signal_profit_q_momdiv_coh( ewo2 ) |       1 |      1     0     0   100 |           3.22 |           3.22 |             7.736 |           0.04 |
|                signal_profit_q_momdiv_coh( ewo2 clucHA ) |       1 |      1     0     0   100 |           2.16 |           2.16 |             5.184 |           0.02 |
| signal_profit_q_pmax_bear( local_uptrend local_dip ewo ) |       1 |      1     0     0   100 |           2.37 |           2.37 |             5.691 |           0.03 |
|                 signal_profit_q_momdiv_coh( ewo clucHA ) |       1 |      1     0     0   100 |          11.91 |          11.91 |            28.618 |           0.14 |
|           sell_profit_t_0_1( local_uptrend ewo2 clucHA ) |       1 |      1     0     0   100 |           0.15 |           0.15 |             0.366 |           0    |
|                           sell_profit_t_1_1( local_dip ) |       1 |      1     0     0   100 |           1.61 |           1.61 |             3.87  |           0.02 |
|               sell_stoploss_deadfish( bb local_uptrend ) |       1 |      0     0     1     0 |         -31.47 |         -31.47 |           -75.605 |          -0.36 |
|               signal_profit_q_momdiv( local_dip clucHA ) |       1 |      1     0     0   100 |           3.5  |           3.5  |             8.409 |           0.04 |
|                         sell_profit_t_1_1( ewo2 clucHA ) |       1 |      1     0     0   100 |           1.57 |           1.57 |             3.768 |           0.02 |
|                    sell_profit_t_cti_r_0_1( r_deadfish ) |       1 |      1     0     0   100 |           0.82 |           0.82 |             1.975 |           0.01 |
|                 signal_profit_q_pmax_bear( ewo2 nfi_32 ) |       1 |      1     0     0   100 |           2.34 |           2.34 |             5.619 |           0.03 |
|                   sell_profit_t_cti_r_0_1( ewo2 clucHA ) |       1 |      1     0     0   100 |           0.19 |           0.19 |             0.448 |           0    |
|                  signal_profit_q_pmax_bear( r_deadfish ) |       1 |      1     0     0   100 |           2.93 |           2.93 |             7.043 |           0.03 |
|                        sell_profit_t_cti_r_0_1( nfi_13 ) |       1 |      1     0     0   100 |           0.96 |           0.96 |             2.308 |           0.01 |
|                        signal_profit_q_momdiv_1h( ewo2 ) |       1 |      1     0     0   100 |           2.05 |           2.05 |             4.937 |           0.02 |
|                       sell_profit_t_1_4( nfi_33 nfix_5 ) |       1 |      1     0     0   100 |           1.73 |           1.73 |             4.155 |           0.02 |
|                              sell_profit_t_1_7( nfi_32 ) |       1 |      1     0     0   100 |           1.21 |           1.21 |             2.904 |           0.01 |
|                              sell_profit_t_0_1( nfi_38 ) |       1 |      1     0     0   100 |           0.01 |           0.01 |             0.016 |           0    |
|           sell_profit_t_1_4( local_uptrend ewo2 clucHA ) |       1 |      1     0     0   100 |           1.99 |           1.99 |             4.792 |           0.02 |
|            signal_profit_q_pmax_bear( bb local_uptrend ) |       1 |      1     0     0   100 |           2.25 |           2.25 |             5.413 |           0.03 |
|                         signal_profit_q_momdiv_coh( bb ) |       1 |      1     0     0   100 |           2.45 |           2.45 |             5.897 |           0.03 |
|                              sell_profit_t_1_1( nfi_32 ) |       1 |      1     0     0   100 |           1.79 |           1.79 |             4.307 |           0.02 |
|                                  sell_profit_t_0_2( bb ) |       1 |      1     0     0   100 |           0.19 |           0.19 |             0.456 |           0    |
|                  signal_profit_q_momdiv( nfi_13 nfi_38 ) |       1 |      1     0     0   100 |           2.42 |           2.42 |             5.814 |           0.03 |
|                 sell_profit_t_1_2( local_uptrend gumbo ) |       1 |      1     0     0   100 |           1.48 |           1.48 |             2.482 |           0.02 |
|                        sell_profit_t_cti_r_0_1( nfi_38 ) |       1 |      1     0     0   100 |           0.2  |           0.2  |             0.48  |           0    |
|                  sell_stoploss_deadfish( local_uptrend ) |       1 |      0     0     1     0 |         -17.54 |         -17.54 |           -42.139 |          -0.2  |
|               sell_profit_u_bear_1_1( local_dip clucHA ) |       1 |      1     0     0   100 |           1.02 |           1.02 |             2.445 |           0.01 |
|                      signal_profit_q_momdiv( local_dip ) |       1 |      1     0     0   100 |           2.84 |           2.84 |             6.829 |           0.03 |
|                     signal_profit_q_momdiv_coh( nfix_5 ) |       1 |      1     0     0   100 |           4.98 |           4.98 |            11.952 |           0.06 |
|                              sell_profit_t_0_2( sqzmom ) |       1 |      1     0     0   100 |           0.09 |           0.09 |             0.204 |           0    |
|        sell_profit_u_bear_1_1( bb local_uptrend clucHA ) |       1 |      1     0     0   100 |           1.56 |           1.56 |             3.745 |           0.02 |
|                          signal_profit_q_pmax_bear( bb ) |       1 |      1     0     0   100 |           5.06 |           5.06 |            12.159 |           0.06 |
|                      sell_profit_u_bear_1_1( local_dip ) |       1 |      1     0     0   100 |           1.58 |           1.58 |             3.806 |           0.02 |
|                            signal_profit_q_momdiv( ewo ) |       1 |      1     0     0   100 |           6.97 |           6.97 |            16.737 |           0.08 |
|                             sell_profit_u_bear_1_1( bb ) |       1 |      1     0     0   100 |           1.5  |           1.5  |             3.605 |           0.02 |
|                                 sell_profit_t_1_11( bb ) |       1 |      1     0     0   100 |           1.59 |           1.59 |             3.815 |           0.02 |
|                            sell_stoploss_u_e_1( sqzmom ) |       1 |      0     0     1     0 |          -5.07 |          -5.07 |           -12.184 |          -0.06 |
|                              sell_profit_t_1_5( clucHA ) |       1 |      1     0     0   100 |           1.37 |           1.37 |             2.701 |           0.02 |
======================================================= LEFT OPEN TRADES REPORT ========================================================
|      Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| 2CRZ/USDT |      1 |          -3.51 |          -3.51 |            -8.434 |          -0.70 |       11:35:00 |     0     0     1     0 |
|  MEM/USDT |      1 |          -5.31 |          -5.31 |           -12.759 |          -1.06 |        9:35:00 |     0     0     1     0 |
|     TOTAL |      2 |          -4.41 |          -8.82 |           -21.193 |          -1.77 |       10:35:00 |     0     0     2     0 |
=============== SUMMARY METRICS ================
| Metric                 | Value               |
|------------------------+---------------------|
| Backtesting from       | 2021-07-01 00:00:00 |
| Backtesting to         | 2021-07-31 00:00:00 |
| Max open trades        | 88                  |
|                        |                     |
| Total/Daily Avg Trades | 272 / 9.07          |
| Starting balance       | 1200.000 USDT       |
| Final balance          | 2137.278 USDT       |
| Absolute profit        | 937.278 USDT        |
| Total profit %         | 78.11%              |
| Avg. stake amount      | 239.087 USDT        |
| Total trade volume     | 65031.572 USDT      |
|                        |                     |
| Best Pair              | ARX/USDT 64.61%     |
| Worst Pair             | 2CRZ/USDT -14.03%   |
| Best trade             | ARX/USDT 20.48%     |
| Worst trade            | FEAR/USDT -33.31%   |
| Best day               | 118.884 USDT        |
| Worst day              | -86.854 USDT        |
| Days win/draw/lose     | 25 / 0 / 5          |
| Avg. Duration Winners  | 1:38:00             |
| Avg. Duration Loser    | 8:21:00             |
| Rejected Buy signals   | 0                   |
|                        |                     |
| Min balance            | 1214.557 USDT       |
| Max balance            | 2264.024 USDT       |
| Drawdown               | 54.68%              |
| Drawdown               | 131.355 USDT        |
| Drawdown high          | 1064.024 USDT       |
| Drawdown low           | 932.670 USDT        |
| Drawdown Start         | 2021-07-29 14:15:00 |
| Drawdown End           | 2021-07-30 19:20:00 |
| Market change          | 22.52%              |
================================================
